"data.country","data.iso_code","data.gid_0","data.survey_date","anxious_7d","depressed_7d","finance","food_security","worried_become_ill"
"Albania","ALB","ALB",2020-04-23,0.07359,0.091151,NA,NA,NA
"Albania","ALB","ALB",2020-04-24,0.044687,0.075241,NA,NA,NA
"Albania","ALB","ALB",2020-04-25,0.116776,0.151527,NA,NA,NA
"Albania","ALB","ALB",2020-05-03,0.076681,0.0822,NA,NA,NA
"Albania","ALB","ALB",2020-05-04,0.100173,0.088585,0.690613,NA,NA
"Albania","ALB","ALB",2020-05-05,0.093534,0.135555,0.634577,NA,NA
"Albania","ALB","ALB",2020-05-06,0.034379,0.053099,0.610158,NA,NA
"Albania","ALB","ALB",2020-05-07,0.071742,0.10723,0.635743,NA,NA
"Albania","ALB","ALB",2020-05-08,0.057861,0.045497,0.653908,NA,NA
"Albania","ALB","ALB",2020-05-09,0.032438,0.082465,0.626252,NA,NA
"Albania","ALB","ALB",2020-05-10,0.069558,0.07499,0.705814,NA,NA
"Albania","ALB","ALB",2020-05-11,0.080023,0.096421,0.6179,NA,NA
"Albania","ALB","ALB",2020-05-12,0.13251,0.106245,0.73774,NA,NA
"Albania","ALB","ALB",2020-05-13,0.170412,0.119984,0.762004,NA,NA
"Albania","ALB","ALB",2020-05-14,0.042511,0.074113,0.683181,NA,NA
"Albania","ALB","ALB",2020-05-15,0.048961,0.042735,0.638836,NA,NA
"Albania","ALB","ALB",2020-05-16,0.104748,0.112683,0.674261,NA,NA
"Albania","ALB","ALB",2020-05-17,0.044897,0.077628,0.557801,NA,NA
"Albania","ALB","ALB",2020-05-18,0.043814,0.094281,0.620475,NA,NA
"Albania","ALB","ALB",2020-05-19,0.10063,0.104583,0.530512,NA,NA
"Albania","ALB","ALB",2020-05-20,0.032824,0.051796,0.664516,NA,NA
"Albania","ALB","ALB",2020-05-21,0.057979,0.067184,0.5646,NA,NA
"Albania","ALB","ALB",2020-05-22,0.081496,0.084163,0.616233,NA,NA
"Albania","ALB","ALB",2020-05-23,0.051783,0.079226,0.550987,NA,NA
"Albania","ALB","ALB",2020-05-24,0.066773,0.117976,0.644782,NA,NA
"Albania","ALB","ALB",2020-05-25,0.048613,0.102985,0.561064,NA,NA
"Albania","ALB","ALB",2020-05-26,0.020115,0.053195,0.580959,NA,NA
"Albania","ALB","ALB",2020-05-27,0.070597,0.048538,0.537954,NA,NA
"Albania","ALB","ALB",2020-05-28,0.082508,0.092643,0.589148,NA,NA
"Albania","ALB","ALB",2020-05-29,0.053368,0.078974,0.648033,NA,NA
"Albania","ALB","ALB",2020-05-30,0.073487,0.080509,0.646978,NA,NA
"Albania","ALB","ALB",2020-05-31,0.057805,0.06656,0.638495,NA,NA
"Albania","ALB","ALB",2020-06-01,0.080701,0.110355,0.697454,NA,NA
